comment_id,user,date,body
2498506261,mwherman2000,2024-11-25T16:36:54+00:00,"Here's a second additional email from Manu to the CCG mailing list...
 
 -----Original Message-----
 From: Michael Herman (Trusted Digital Web) 
 Sent: Monday, November 25, 2024 9:36 AM
 To: 'Manu Sporny' <msporny@digitalbazaar.com>; Markus Sabadello <markus@danubetech.com>; Kim Hamilton Duffy <kim@identity.foundation>
 Cc: W3C Credentials CG (Public List) <public-credentials@w3.org>
 Subject: RE: DID Methods Working Group Series is underway
 
 Ditto Manu. IMO I believe you're way out of line for posting this unratified interpretation.
 
 Best guards,
 Michael Herman
 Web 7.0 Foundation
 
 -----Original Message-----
 From: Manu Sporny <[msporny@digitalbazaar.com](mailto:msporny@digitalbazaar.com)> 
 Sent: Monday, November 25, 2024 8:10 AM
 To: W3C Credentials CG (Public List) <[public-credentials@w3.org](mailto:public-credentials@w3.org)>
 Subject: Re: DID Methods Working Group Series is underway
 
 On Fri, Nov 22, 2024 at 3:01 PM Kim Hamilton <[kimdhamilton@gmail.com](mailto:kimdhamilton@gmail.com)> wrote:
 > Last Wednesday, we had our first recurring meeting of the DID Methods Working Group, facilitated by DIF and co-sponsored by ToIP, W3C CCG, W3C DID WG, and INATBA.
 
 Meeting summary (via AI) below:
 
 The meeting centered on the standardization of Decentralized Identifier (DID) Methods, a crucial aspect of the broader decentralized identity ecosystem. Participants discussed challenges in achieving interoperability among various DID Methods, ensuring security and scalability, and addressing the diverse needs of stakeholders across industries. A need for DID Methods to be standardized was a core focus. Topics included refining existing specifications, promoting best practices and features, and aligning efforts with existing specifications for decentralized identity systems.
 
 The group's mission is to establish a standardized framework for DID Methods and identify a few that need standardization, ensuring compatibility and reliability across platforms. By focusing on cross-community collaboration and standardization, the participants aim to create a flexible and inclusive system that supports innovation while maintaining a commitment to core principles of decentralization, privacy, and user control.
 
 Key takeaways included a shared dedication to overcoming fragmentation in the DID ecosystem, fostering interoperability through standardization of specific features and specifications, and ensuring the technical and ethical robustness of proposed standards so that they might be used by global society. The group stressed the importance of community engagement and real-world testing to inform the ongoing development of these specifications toward standardization at global standards setting organizations.
 
 -- manu
 
 --
 Manu Sporny - https://www.linkedin.com/in/manusporny/
 Founder/CEO - Digital Bazaar, Inc.
 https://www.digitalbazaar.com/"
2498567458,msporny,2024-11-25T17:03:34+00:00,"> None of what you've said below has been ratified by the WG membership.
 
 I didn't say it had been... we're just starting; expecting anything to
 be ratified after the first meeting is not an expectation anyone
 should have at this point. My emails were my interpretation based on
 what was discussed in the first meeting to help people that were not
 there understand what happened during the first meeting. I attempted
 to summarize the meeting as I saw it. Others can provide their own
 interpretations.
 
 > All that has been requested asked for (by Kim in the last meeting) is for the members to propose steps for moving forward
 
 Yep, which is what I did.
 
 > In addition, I believe Markus's role as the co-chair is to report on progress. The rest of us (including you and I) are just members.
 
 Members can provide their view of what they believe happens in a
 meeting and propose next steps that they believe to be helpful in
 establishing consensus. Gathering requirements from the community are
 among those things that help establish consensus. We have used ranked
 choice polls to make decisions over the past decade in this and other
 communities.
 
 > I'm deeply disappointed in seeing this email - to the point where it may be a code-of-conduct violation.
 
 Threatening action such as this for actions performed in good faith,
 as well as the sorts of legal threats you've been engaged in for the
 past several weeks (threatening legal action over trademarks which you
 do not have) establish a pattern of behaviour that is troubling.
 
 https://github.com/w3c/did-extensions/pull/581#issuecomment-2462828639
 
 If you would like to file a code of conduct violation, please do.
 "
2498666431,mwherman2000,2024-11-25T17:48:08+00:00,"From: Michael Herman (Trusted Digital Web) 
 Sent: Monday, November 25, 2024 10:47 AM
 To: Manu Sporny <msporny@digitalbazaar.com>; W3C Credentials CG <public-credentials@w3.org>; Kim Hamilton Duffy <kim@identity.foundation>; Markus Sabadello <markus@danubetech.com>
 Cc: Will Abramson <will@legreq.com>; Daniel Burnett <danielcburnett@gmail.com>; Gabe.L.Cohen@gmail.com
 Subject: RE: Threat of Code of Conduct Violation (was Re: Goals and Requirements for DID Method Standardization?)
 
 MWH>> See below.
 
 -----Original Message-----
 From: Manu Sporny <[msporny@digitalbazaar.com](mailto:msporny@digitalbazaar.com)> 
 Sent: Monday, November 25, 2024 10:03 AM
 To: W3C Credentials CG <[public-credentials@w3.org](mailto:public-credentials@w3.org)>
 Cc: Markus Sabadello <[markus@danubetech.com](mailto:markus@danubetech.com)>; Kim Hamilton Duffy <[kim@identity.foundation](mailto:kim@identity.foundation)>
 Subject: Threat of Code of Conduct Violation (was Re: Goals and Requirements for DID Method Standardization?)
 
 On Mon, Nov 25, 2024 at 11:29 AM Michael Herman (Trusted Digital Web) <[mwherman@parallelspace.net](mailto:mwherman@parallelspace.net)> wrote:
 > None of what you've said below has been ratified by the WG membership.
 
 I didn't say it had been... we're just starting; expecting anything to be ratified after the first meeting is not an expectation anyone should have at this point. My emails were my interpretation based on what was discussed in the first meeting to help people that were not there understand what happened during the first meeting. I attempted to summarize the meeting as I saw it. Others can provide their own interpretations.
 
 MWH>> You presented your "" Requirements for DID Method Standardization"" as a supposed baseline set of requirements. It is not.
 MWH>> You further emphasized this ""baseline"" point in the following paragraph where you asked people to add any missing requirements (to your baseline).  This approach is inappropriate, overhanded, and needs to be neutered.
 MWH>> ""I know I'm missing many more requirement ideas, so what are they? What do you feel we should include as requirements as we go through the selection process for which DID Methods (and their features) should be standardized?""
 
 > All that has been requested asked for (by Kim in the last meeting) is 
 > for the members to propose steps for moving forward
 
 MWH>> In your typical style spanning years and years, you take someone's text and truncate/abbreviate/manupulate it for serve your own needs.  Here's what my full statement said:
 MANU>> "" All that has been requested asked for (by Kim in the last meeting) is for the members to propose steps for moving forward here (nothing more): https://github.com/decentralized-identity/did-methods/issues""
 MWH>> This is another CoC issue (#2?)
 MWH>> In addition, you most always delete the previous context of the thread making it difficult for anyone ready your emails to full understand and appreciate the full and complete context of the issue - tilting/twisting the discussion in your favour.
 
 Yep, which is what I did.
 
 > In addition, I believe Markus's role as the co-chair is to report on progress. The rest of us (including you and I) are just members.
 
 Members can provide their view of what they believe happens in a meeting and propose next steps that they believe to be helpful in establishing consensus. Gathering requirements from the community are among those things that help establish consensus. We have used ranked choice polls to make decisions over the past decade in this and other communities.
 
 MWH>> Manu, for years and years you have exerted your heavy-handed influence over CCG and most of its WGs.  It's been documented by myself and others over the years. Here's one example: https://hyperonomy.com/2019/04/09/clique-speak/
 
 > I'm deeply disappointed in seeing this email - to the point where it may be a code-of-conduct violation.
 
 Threatening action such as this for actions performed in good faith, 
 MWH>> Based on years of 1. similar experiences with you, 2. this specific context, 3. your behaviors demonstrated over the past couple weeks, and 4. this CoC claim, I question your ""good faith"" with full justification.
 
 MANU>> ..as well as the sorts of legal threats you've been engaged in for the past several weeks (threatening legal action over trademarks which you do not have) establish a pattern of behavior that is troubling.
 MWH>> CCG members, what Manu has stated in the above sentence is an outright lie. 
 MWH>> First, I am well within my rights to validly claim and contest copyright infringement with respect to ""did:tdw"" and ""Trust DID Web"". Reference: https://github.com/w3c/did-extensions/pull/581#issuecomment-2462828639
 MWH>> To try to deny me that right or to try to intimidate, threaten, and/or retaliate is a 3rd CoC violation.
 MWH>> I have never threatened any legal action.  Manu's claim is a lie. I have claimed trademark infringement. The specific wording I used was:
 MWH>> "" I have a commercial objection to the approval of did:tdw. ""tdw"" overlaps significantly with the Trusted Digital Web, the parent project of the Web 7.0 Ultraweb."" Reference: https://github.com/w3c/did-extensions/issues/586#issue-2641739874
 MWH>> On the other hand, Manu it was yourself who became very heavy-handed, threatening, intimidating, and retaliatory in the DID WG meeting of (I believe) November 14th when in the open Zoom call you threatened me with the size of Digital Bizarre's ""internal legal council"" as well as the size ""internal legal councils"" of the W3C, other government/defense contractor partners, etc. Everyone on the call is a witness to this unacceptable behavior. This unacceptable behavior is included in CoC claim #3.
